"","study",".id",".g",".g_se","condition_arm1","condition_arm2","country_origin","income","multi_arm1","multi_arm2","time_weeks","format","country","rob","db"
"1","Amianto, 2011","Amianto_2011_msd_...",0,0.348,"pdp","cau","Italy","H",NA,NA,"52","ind","eu",1,"bpd"
"2","Bateman, 2009","Bateman_2009_msd_...",0.947,0.183,"mbt","cau","United Kingdom","H",NA,NA,"78","oth","uk",0,"bpd"
"3","Bellino, 2010","Bellino_2010_msd_...",0.031,0.302,"ipt","cau","Italy","H",NA,NA,"32","ind","eu",0,"bpd"
"4","Bozzatello, 2020","Bozzatello_2020_m...",1.08,0.358,"ipt","cau","Italy","H",NA,NA,"40","ind","eu",0,"bpd"
"5","Bozzatello, 2020","Bozzatello_2020_m...",1.23,0.365,"ipt","cau","Italy","H",NA,NA,"40","ind","eu",0,"bpd"
"6","Carter, 2010","Carter_2010_msd_w...",0.037,0.293,"dbt","cau","Australia","H",NA,NA,"26","oth","au",0,"bpd"
"7","Cottraux, 2009","Cottraux_2009_msd...",0.225,0.326,"cbt","cau","France","H",NA,NA,"52","ind","eu",0,"bpd"
"8","Davidson, 2006","Davidson_2006_msd...",-0.231,0.202,"cbt","cau","United Kingdom","H",NA,NA,"52","ind","uk",0,"bpd"
"9","Dixon-Gordon, 2015","Dixon-Gordon_2015...",-0.09,0.494,"dbt","cau","USA","H",NA,NA,"7","grp","us",0,"bpd"
"10","Doering, 2010","Doering_2010_msd_...",0.554,0.2,"tfp","cau","Germany","H",NA,NA,"52","ind","eu",1,"bpd"
"11","Farrell, 2009","Farrell_2009_msd_...",2.156,0.484,"st","cau","USA","H",NA,NA,"35","grp","us",0,"bpd"
"12","Feigenbaum, 2012","Feigenbaum_2012_m...",-0.005,0.32,"dbt","cau","United Kingdom","H",NA,NA,"52","oth","uk",0,"bpd"
"13","Gregory, 2008","Gregory_2008_msd_...",0.437,0.37,"pdp","cau","USA","H",NA,NA,"52","ind","us",0,"bpd"
"14","Herpertz, 2020","Herpertz_2020_msd...",-0.347,0.288,"mixed","cau","Germany","H",NA,NA,"6.5","oth","eu",0,"bpd"
"15","Hilden, 2020","Hilden_2021_msd_b...",0.601,0.364,"st","cau","Finland","H",NA,NA,"20","grp","eu",0,"bpd"
"16","Koons, 2001","Koons_2001_msd_ds...",0.29,0.45,"dbt","cau","USA","H",NA,NA,"26","oth","us",0,"bpd"
"17","Kredlow, 2017a","Kredlow_2017a_msd...",1.279,0.434,"cbt","cau","USA","H",NA,NA,"3","ind","us",0,"bpd"
"18","Laurenssen, 2018","Laurenssen_2018_m...",0.068,0.207,"mbt","cau","Netherlands","H",NA,NA,"78","oth","eu",0,"bpd"
"19","Leppännen, 2016","Leppännen_2016_ms...",0.354,0.292,"mixed","cau","Finland","H",NA,NA,"52","oth","eu",0,"bpd"
"20","Linehan, 2006","Linehan_2006_msd_...",0.166,0.221,"dbt","cau","USA","H",NA,NA,"52","oth","us",0,"bpd"
"21","Majdara, 2019","Majdara_2019_msd_...",1.69,0.47,"pdp","cau","Iran","UM",NA,NA,"52","ind","oth",0,"bpd"
"22","Mcmain, 2017","Mcmain_2017_msd_b...",0.712,0.225,"dbt","cau","USA","H",NA,NA,"20","grp","us",0,"bpd"
"23","Philips, 2018","Philips_2018_msd_...",0.393,0.414,"mbt","cau","Sweden","H",NA,NA,"78","oth","eu",0,"bpd"
"24","Pistorello, 2012","Pistorello_2012_m...",0.912,0.265,"dbt","cau","USA","H",NA,NA,"52","oth","us",1,"bpd"
"25","Priebe, 2012","Priebe_2012_msd_z...",0.383,0.242,"dbt","cau","United Kingdom","H",NA,NA,"52","oth","uk",0,"bpd"
"26","Reneses, 2013","Reneses_2013_msd_...",0.818,0.319,"pdp","cau","Spain","H",NA,NA,"26","ind","eu",0,"bpd"
"27","Turner, 2000","Turner_2000_msd_i...",1.052,0.437,"dbt","cau","USA","H",NA,NA,"52","oth","us",0,"bpd"
"28","Verheul, 2003","Verheul_2003_msd_...",0.173,0.289,"dbt","cau","Netherlands","H",NA,NA,"52","oth","eu",0,"bpd"
"29","Aagaard, 2017","Aagaard_2017_msd_bdi-1_post_0_self-report_cbt_cau_NA_NA",0,0.231,"cbt","cau","Denmark","H",NA,NA,"0","grp","eu",3,"dep"
"30","Abas, 2018","Abas_2018_msd_phq-9_post_0_self-report_pst_cau_NA_NA",0.71,0.391,"pst","cau","Zimbabwe","LM",NA,NA,"0","ind","oth",4,"dep"
"31","Abas, 2018","Abas_2018_msd_dssq_post_0_self-report_pst_cau_NA_NA",0.552,0.386,"pst","cau","Zimbabwe","LM",NA,NA,"0","ind","oth",4,"dep"
"32","Ahmadpanah, 2016","Ahmadpanah_2016_msd_bdi-1_post_0_self-report_otherpsy_cau_otherpsy(smt)_cau",1.779,0.435,"other psy","cau","Iran","UM","other psy (smt)","cau","0","grp","oth",3,"dep"
"33","Ahmadpanah, 2016","Ahmadpanah_2016_msd_bdi-1_post_0_self-report_3rd_cau_3rdwave(mdm)_cau",1.568,0.42,"3rd","cau","Iran","UM","3rd wave (mdm)","cau","0","ind","oth",3,"dep"
"34","Alexopoulos, 2016","Alexopoulos_2016_remission(cut-off)_hdrs_post_0_clinician_pst_otherctr_NA_NA",-0.17,0.178,"pst","other ctr","USA","H",NA,NA,"0","ind","us",3,"dep"
"35","Alexopoulos, 2016","Alexopoulos_2016_response(50%)_hdrs_post_0_clinician_pst_otherctr_NA_NA",-0.215,0.175,"pst","other ctr","USA","H",NA,NA,"0","ind","us",3,"dep"
"36","Alfonso, 2009","Alfonso_2009_msd_ces-d_post_0_self-report_lrt_cau_lrt_cau",2.817,0.367,"lrt","cau","Portugal","H","lrt","cau","0","ind","eu",1,"dep"
"37","Alfonso, 2009","Alfonso_2009_msd_ces-d_post_0_self-report_lrt_otherctr_lrt_otherctr",2.117,0.324,"lrt","other ctr","Portugal","H","lrt","other ctr","0","ind","eu",1,"dep"
"38","Alhusen, 2021","Alhusen_2021_msd_epds_post_0_self-report_cbt_cau_NA_NA",1.457,0.291,"cbt","cau","USA","H",NA,NA,"0","grp","us",1,"dep"
"39","Allart van Dam, 2003","AllartvanDam_2003_msd_bdi-1_post_0_self-report_cbt_cau_NA_NA",0.57,0.206,"cbt","cau","Netherlands","H",NA,NA,"0","grp","eu",1,"dep"
"40","Amani, 2021","Amani_2021_msd_epds_post_0_self-report_cbt_wl_NA_NA",1.307,0.363,"cbt","wl","Canada","H",NA,NA,"0","grp","can",2,"dep"
"41","Ammerman, 2013","Ammerman_2013_msd_bdi-2_post_0_self-report_cbt_cau_NA_NA",0.944,0.219,"cbt","cau","USA","H",NA,NA,"0","ind","us",3,"dep"
"42","Ammerman, 2013","Ammerman_2013_remission(diag)_scid_post_0_clinician_cbt_cau_NA_NA",0.929,0.251,"cbt","cau","USA","H",NA,NA,"0","ind","us",3,"dep"
"43","Ammerman, 2013","Ammerman_2013_msd_epds_post_0_self-report_cbt_cau_NA_NA",0.882,0.217,"cbt","cau","USA","H",NA,NA,"0","ind","us",3,"dep"
"44","Ammerman, 2013","Ammerman_2013_msd_hdrs_post_0_clinician_cbt_cau_NA_NA",0.781,0.215,"cbt","cau","USA","H",NA,NA,"0","ind","us",3,"dep"
"45","Andersson, 2005","Andersson_2005_msd_bdi-1_post_0_self-report_cbt_otherctr_NA_NA",0.954,0.232,"cbt","other ctr","Sweden","H",NA,NA,"0","gsh","eu",3,"dep"
"46","Andersson, 2005","Andersson_2005_msd_madrs-s_post_0_self-report_cbt_otherctr_NA_NA",0.79,0.228,"cbt","other ctr","Sweden","H",NA,NA,"0","gsh","eu",3,"dep"
"47","Araya, 2021","Araya_2021_response(50%)_phq-9_post_0_self-report_bat_cau_Lima_cau",0.396,0.11,"bat","cau","Peru","UM","Lima","cau","0","gsh","oth",4,"dep"
"48","Araya, 2021","Araya_2021_response(50%)_phq-9_post_0_self-report_bat_cau_SaoPaulo_cau",0.265,0.081,"bat","cau","Brazil","UM","Sao Paulo","cau","0","gsh","oth",4,"dep"
"49","Arean, 1993","Arean_1993_msd_hdrs_post_0_clinician_pst_wl_pst(pst)_wl",2.372,0.422,"pst","wl","USA","H","pst (pst)","wl","0","grp","us",1,"dep"
"50","Arean, 1993","Arean_1993_remission(diag)_dsm-III-r_post_0_clinician_pst_wl_pst(pst)_wl",1.428,0.463,"pst","wl","USA","H","pst (pst)","wl","0","grp","us",1,"dep"
"51","Arean, 1993","Arean_1993_msd_gds_post_0_self-report_pst_wl_pst(pst)_wl",0.849,0.335,"pst","wl","USA","H","pst (pst)","wl","0","grp","us",1,"dep"
"52","Arean, 1993","Arean_1993_msd_bdi-1_post_0_self-report_pst_wl_pst(pst)_wl",0.835,0.335,"pst","wl","USA","H","pst (pst)","wl","0","grp","us",1,"dep"
"53","Arean, 1993","Arean_1993_remission(diag)_dsm-III-r_post_0_clinician_lrt_wl_lrt(rt)_wl",0.722,0.472,"lrt","wl","USA","H","lrt (rt)","wl","0","grp","us",1,"dep"
"54","Arean, 1993","Arean_1993_msd_hdrs_post_0_clinician_lrt_wl_lrt(rt)_wl",0.533,0.298,"lrt","wl","USA","H","lrt (rt)","wl","0","grp","us",1,"dep"
"55","Arean, 1993","Arean_1993_msd_bdi-1_post_0_self-report_lrt_wl_lrt(rt)_wl",0.513,0.298,"lrt","wl","USA","H","lrt (rt)","wl","0","grp","us",1,"dep"
"56","Arean, 1993","Arean_1993_msd_gds_post_0_self-report_lrt_wl_lrt(rt)_wl",0.317,0.295,"lrt","wl","USA","H","lrt (rt)","wl","0","grp","us",1,"dep"
"57","Arjadi, 2018","Arjadi_2018_remission(diag)_scid_post_0_clinician_bat_otherctr_NA_NA",0.485,0.14,"bat","other ctr","Indonesia","LM",NA,NA,"0","gsh","oth",4,"dep"
"58","Arjadi, 2018","Arjadi_2018_msd_phq-9_post_0_self-report_bat_otherctr_NA_NA",0.389,0.114,"bat","other ctr","Indonesia","LM",NA,NA,"0","gsh","oth",4,"dep"
"59","Au, 2022","Au_2022_msd_bdi-2_post_12_self-report_cbt_cau_NA_NA",0.369,0.176,"cbt","cau","China","UM",NA,NA,"12","mixed","eas",1,"dep"
"60","Ayen, 2004","Ayen_2004_msd_ids_post_0_clinician_cbt_wl_cbt_wlcb",4.237,0.809,"cbt","wl","Germany","H","cbt","wlc b","0","grp","eu",1,"dep"
"61","Ayen, 2004","Ayen_2004_msd_ids_post_0_clinician_cbt_wl_cbt_wlca",4.008,0.778,"cbt","wl","Germany","H","cbt","wlc a","0","grp","eu",1,"dep"
"62","Ayen, 2004","Ayen_2004_msd_bdi-1_post_0_self-report_cbt_wl_cbt_wlcb",3.382,0.697,"cbt","wl","Germany","H","cbt","wlc b","0","grp","eu",1,"dep"
"63","Ayen, 2004","Ayen_2004_msd_bdi-1_post_0_self-report_cbt_wl_cbt_wlca",3.36,0.695,"cbt","wl","Germany","H","cbt","wlc a","0","grp","eu",1,"dep"
"64","Ayen, 2004","Ayen_2004_msd_ids_post_0_clinician_sup_wl_supportivetherapy_wlcb",2.293,0.492,"sup","wl","Germany","H","supportive therapy","wlc b","0","grp","eu",1,"dep"
"65","Ayen, 2004","Ayen_2004_msd_ids_post_0_clinician_sup_wl_supportivetherapy_wlca",2.17,0.483,"sup","wl","Germany","H","supportive therapy","wlc a","0","grp","eu",1,"dep"
"66","Ayen, 2004","Ayen_2004_msd_bdi-1_post_0_self-report_sup_wl_supportivetherapy_wlca",1.769,0.453,"sup","wl","Germany","H","supportive therapy","wlc a","0","grp","eu",1,"dep"
"67","Ayen, 2004","Ayen_2004_msd_bdi-1_post_0_self-report_sup_wl_supportivetherapy_wlcb",1.713,0.449,"sup","wl","Germany","H","supportive therapy","wlc b","0","grp","eu",1,"dep"
"68","Baker, 2010","Baker_2010_msd_bdi-2_post_NA_self-report_cbt_otherctr_cbt(dep)_otherctr",-0.085,0.24,"cbt","other ctr","Australia","H","cbt (dep)","other ctr",NA,"ind","au",4,"dep"
"69","Baker, 2010","Baker_2010_msd_bdi-2_post_NA_self-report_cbt_otherctr_cbt(dep+sub)_otherctr",0.195,0.239,"cbt","other ctr","Australia","H","cbt (dep + sub)","other ctr",NA,"ind","au",4,"dep"
"70","Barber, 2012","Barber_2012_response(50%orcut-off)_hdrs_post_0_clinician_dyn_otherctr_NA_NA",0.099,0.252,"dyn","other ctr","USA","H",NA,NA,"0","ind","us",3,"dep"
"71","Barber, 2012","Barber_2012_remission(diag)_hdrs_post_0_clinician_dyn_otherctr_NA_NA",0.052,0.271,"dyn","other ctr","USA","H",NA,NA,"0","ind","us",3,"dep"
