"","study",".id",".g",".g_se","condition_arm1","condition_arm2","country_origin","income","multi_arm1","multi_arm2","outcome_type","outcome_domain","gambling_outcome","instrument","mean_arm1","sd_arm1","n_arm1","mean_arm2","sd_arm2","n_arm2","md_arm1varm2","common_sd_arm1vsarm2","year","time_weeks","time","format","format_details","country","mean_age","percent_women","sg","ac","ba","itt","rob","full_ref","doi","abstract","title","url","journal","id_study","culture"
"1","Petry, 2006","Petry, 2006",0.386020561574708,0.182616567486037,"cbt","cau","USA","H","f2f","cau","msd","gambling","severity","asi",0.36,0.22,70,0.46,0.3,53,NA,NA,2006,8,"post","ind","ind","us",45.2,0.46,1,0,0,1,2,"Petry, N. M., Ammerman, Y., Bohl, J., Doersch, A., Gay, H., Kadden, R., ... & Steinberg, K. (2006). Cognitive-behavioral therapy for pathological gamblers. Journal of Consulting and Clinical Psychology, 74(3), 555-567.","10.1037/0022-006X.74.3.555","Few studies have evaluated efficacy of psychotherapies for pathological gambling. Pathological gamblers (N = 231) were randomly assigned to (a) referral to Gamblers Anonymous (GA), (b) GA referral plus a cognitive- behavioral (CB) workbook, or (c) GA referral plus 8 sessions of individual CB therapy. Gambling and related problems were assessed at baseline, 1 month later, posttreatment, and at 6- and 12-month follow-ups. CB treatment reduced gambling relative to GA referral alone during the treatment period and resulted in clinically significant improvements, with some effects maintained throughout follow-up ( ps = .05). Individual CB therapy improved some outcomes compared with the CB workbook. Attendance at GA and number of CB therapy sessions or workbook exercises completed were associated with gambling abstinence. These data suggest the efficacy of this CB therapy approach.","Cognitive-behavioral therapy for pathological gamblers.","https://psycnet.apa.org/doiLanding?doi=10.1037%2F0022-006X.74.3.555","Journal of Consulting and Clinical Psychology","Petry, 2006","A - Western"
"2","Petry, 2006","Petry, 2006",0.0730101087397501,0.179941855241956,"cbt","cau","USA","H","wb","cau","msd","gambling","severity","asi",0.44,0.25,72,0.46,0.3,53,NA,NA,2006,8,"post","ind","ush","us",44.3,0.47,1,0,0,1,2,"Petry, N. M., Ammerman, Y., Bohl, J., Doersch, A., Gay, H., Kadden, R., ... & Steinberg, K. (2006). Cognitive-behavioral therapy for pathological gamblers. Journal of Consulting and Clinical Psychology, 74(3), 555-567.","10.1037/0022-006X.74.3.555","Few studies have evaluated efficacy of psychotherapies for pathological gambling. Pathological gamblers (N = 231) were randomly assigned to (a) referral to Gamblers Anonymous (GA), (b) GA referral plus a cognitive- behavioral (CB) workbook, or (c) GA referral plus 8 sessions of individual CB therapy. Gambling and related problems were assessed at baseline, 1 month later, posttreatment, and at 6- and 12-month follow-ups. CB treatment reduced gambling relative to GA referral alone during the treatment period and resulted in clinically significant improvements, with some effects maintained throughout follow-up ( ps = .05). Individual CB therapy improved some outcomes compared with the CB workbook. Attendance at GA and number of CB therapy sessions or workbook exercises completed were associated with gambling abstinence. These data suggest the efficacy of this CB therapy approach.","Cognitive-behavioral therapy for pathological gamblers.","https://psycnet.apa.org/doiLanding?doi=10.1037%2F0022-006X.74.3.555","Journal of Consulting and Clinical Psychology","Petry, 2006","A - Western"
"3","Petry, 2008","Petry, 2008",0.104309111146446,0.216327518347852,"cbt","ao","USA","H",NA,NA,"msd","gambling","severity","asi",0.32,0.19,38,0.34,0.19,47,NA,NA,2008,6,"post","ind","ind","us",42.6,0.38,1,1,1,1,4,"Petry, N. M., Weinstock, J., Ledgerwood, D. M., & Morasco, B. (2008). A randomized trial of brief interventions for problem and pathological gamblers. Journal of Consulting and Clinical Psychology, 76(2), 318-328.","10.1037/0022-006X.76.2.318","Limited research exists regarding methods for reducing problem gambling. Problem gamblers (N = 180) were randomly assigned to assessment only control, 10 min of brief advice, 1 session of motivational enhancement therapy (MET), or 1 session of MET plus 3 sessions of cognitive-behavioral therapy. Gambling was assessed at baseline, at 6 weeks, and at a 9-month follow-up. Relative to assessment only, brief advice was the only condition that significantly decreased gambling between baseline and Week 6, and it was associated with clinically significant reductions in gambling at Month 9. Between Week 6 and Month 9, MET plus cognitive-behavioral therapy evidenced significantly reduced gambling on 1 index compared with the control condition. These results suggest the efficacy of a very brief intervention for reduction of gambling among problem and pathological gamblers who are not actively seeking gambling treatment. ","A randomized trial of brief interventions for problem and pathological gamblers.","https://psycnet.apa.org/record/2008-03290-013","Journal of Consulting and Clinical Psychology","Petry, 2008","A - Western"
"4","Petry, 2009","Petry, 2009",0.244924970478235,0.288100003103087,"cbt","ao","USA","H",NA,NA,"msd","gambling","severity","asi",0.18,0.1,18,0.21,0.13,34,NA,NA,2009,6,"post","ind","ind","us",20.3,0.13,1,1,1,1,4,"Petry, N. M., Weinstock, J., Morasco, B. J., & Ledgerwood, D. M. (2009). Brief motivational interventions for college student problem gamblers. Addiction, 104(9), 1569-1578.","10.1111/j.1360-0443.2009.02652.x","Aims: College students experience high rates of problem and pathological gambling, yet little research has investigated methods for reducing gambling in this population. This study sought to examine the efficacy of brief intervention strategies. Design: Randomized trial. Setting: College campuses. Participants: A total of 117 college student problem and pathological gamblers. Interventions: Students were assigned randomly to: an assessment-only control, 10 minutes of brief advice, one session of motivational enhancement therapy (MET) or one session of MET, plus three sessions of cognitive-behavioral therapy (CBT). The three interventions were designed to reduce gambling. Measurements: Gambling was assessed at baseline, week 6 and month 9 using the Addiction Severity Index-gambling (ASI-G) module, which also assesses days and dollars wagered. Findings: Compared to the assessment-only condition, those receiving any intervention had significant decreases in ASI-G scores and days and dollars wagered over time. The MET condition decreased significantly ASI-G scores and dollars wagered over time, and increased the odds of a clinically significant reduction in gambling at the 9-month follow-up relative to the assessment-only condition, even after controlling for baseline indices that could impact outcomes. The Brief Advice and MET+CBT conditions had benefits on some, but not all, indices of gambling. None of the interventions differed significantly from one another. Conclusions These results suggest the efficacy of brief interventions for reducing gambling problems in college students.","Brief motivational interventions for college student problem gamblers","https://onlinelibrary.wiley.com/doi/full/10.1111/j.1360-0443.2009.02652.x","Addiction","Petry, 2009","A - Western"
"5","Oei, 2018","Oei, 2018",1.12134348429325,0.289912752525087,"cbt","wl","Australia","H",NA,NA,"msd","gambling","severity","cpgi",11.09,8.41,23,18.53,4.79,32,NA,NA,2018,7,"post","ind","ush","au",49.4,0.51,0,0,0,0,0,"Oei, T. P. S., Raylu, N., & Lai, W. W. (2018). Effectiveness of a self help cognitive behavioural treatment program for problem gamblers: a randomised controlled trial. Journal of Gambling Studies, 34(2), 581-595.","10.1007/s10899-017-9723-1","The study aimed to strengthen the scarce literature on self-help treatments for Problem Gambling (PG) by comparing the effectiveness of a Self-Help Cognitive Behavioral Treatment (SHCBT) program (n = 23) with a 6-week Waitlist condition (n = 32) in problem gamblers. Participants were community volunteers with gambling problems and were randomly allocated to the Waitlist and treatment conditions. Results showed significant improvements at post-treatment in gambling behaviors including frequency of gambling, average amount gambled per day and PG symptoms as well as a number of gambling correlates including psychological states (e.g., depression, anxiety and stress), gambling cognitions, gambling urges, gambling related self-efficacy, satisfaction with life, and quality of life among those who completed the SHCBT program, when compared with the waitlist condition. The effect size (partial η 2) ranged from .25 to .57 for all assessed outcomes that showed significant improvement from pre- to post-treatment. It was concluded that a self-help CBT program can be beneficial for treating community problem gamblers.","Effectiveness of a Self Help Cognitive Behavioural Treatment Program for Problem Gamblers: A Randomised Controlled Trial","https://link.springer.com/article/10.1007/s10899-017-9723-1","Journal of Gambling Studies","Oei, 2018","A - Western"
"6","Boudreault, 2018","Boudreault, 2018",0.928651059085842,0.282714832289681,"cbt","wl","Canada","H",NA,NA,"msd","gambling","severity","dsm-5",2.74,2.08,27,4.7,2.08,27,NA,NA,2018,11,"post","ind","ind","can",51.5,0.39,1,0,0,1,2,"Boudreault, C., Giroux, I., Jacques, C., Goulet, A., Simoneau, H., & Ladouceur, R. (2018). Efficacy of a self-help treatment for at-risk and pathological gamblers. Journal of Gambling Studies, 34(2), 561-580.","10.1007/s10899-017-9717-z","Available evidence suggests that self-help treatments may reduce problem gambling severity but inconsistencies of results across clinical trials leave the extent of their benefits unclear. Moreover, no self-help treatment has yet been validated within a French Canadian setting. The current study therefore assesses the efficacy of a French language self-help treatment including three motivational telephone interviews spread over an 11-week period and a cognitive-behavioral self-help workbook. At-risk and pathological gamblers were randomly assigned to the treatment group (n = 31) or the waiting list (n = 31). Relative to the waiting list, the treatment group showed a statistically significant reduction in the number of DSM-5 gambling disorder criteria met, gambling habits, and gambling consequences at Week 11. Perceived self-efficacy and life satisfaction also significantly improved after 11 weeks for the treatment group, but not for the waiting list group. At Week 11, 13% of participants had dropped out of the study. All significant changes reported for the treatment group were maintained throughout 1, 6 and 12-month follow-ups. Results support the efficacy of the self-help treatment to reduce problem gambling severity, gambling behaviour and to improve overall functioning among a sample of French Canadian problem gamblers over short, medium and long term. Findings from this study lend support to the appropriateness of self-help treatments for problem gamblers and help clarify inconsistencies found in the literature. The low dropout rate is discussed with respect to the advantages of the self-help format. Clinical and methodological implications of the results are put forth.","Efficacy of a Self-Help Treatment for At-Risk and Pathological Gamblers","https://link.springer.com/article/10.1007/s10899-017-9717-z","Journal of Gambling Studies","Boudreault, 2018","A - Western"
"7","Sylvain, 1997","Sylvain, 1997",3.10757930482569,0.544941265650854,"cbt","wl","Canada","H",NA,NA,"msd","gambling","severity","dsm-iii",1.1,0.9,14,5.7,1.8,15,NA,NA,1997,NA,"post","ind","ind","can",40.2,0,0,0,0,0,0,"Sylvain, C., Ladouceur, R., & Boisvert, J. M. (1997). Cognitive and behavioral treatment of pathological gambling: a controlled study. Journal of consulting and Clinical Psychology, 65(5), 727-732.","10.1037/0022-006X.65.5.727","This study evaluated the efficacy of a cognitive-behavioral treatment package for pathological gambling. Twenty-nine men who met criteria for pathological gambling in accordance with the Diagnostic and Statistical Manual of Mental Disorders (3rd ed., revised; DSM-III-R; American Psychiatric Association, 1987) were randomly assigned to treatment or wait-list control. The treatment included 4 components: (a) cognitive correction of erroneous perceptions about gambling, (b) problem-solving training, (c) social skills training, and (d) relapse prevention. The dependent variables were the South Oaks Gambling Screen, perception of control, frequency of gambling, perceived self-efficacy, desire to gamble, and number of DSM-III-R criteria met by participants. Posttest results indicated highly significant changes in the treatment group on all outcome measures, and analysis of data from 6- and 12-month follow-ups revealed maintenance of therapeutic gains. Recommendations for clinical interventions are discussed and focus on the cognitive correction of erroneous perceptions of gambling. ","Cognitive and behavioral treatment of pathological gambling: A controlled study.","https://psycnet.apa.org/doiLanding?doi=10.1037%2F0022-006x.65.5.727","Journal of Consulting and Clinical Psychology","Sylvain, 1997","A - Western"
"8","Harris, 2016","Harris, 2016",1.35658346350371,0.402727908750111,"cbt","wl","Canada","H",NA,NA,"msd","gambling","severity","dsm-iv",2.13,1.96,15,5.14,2.35,14,NA,NA,2016,8,"post","grp","grp","can",34.2,0.47,0,0,0,1,1,"Harris, N., & Mazmanian, D. (2016). Cognitive behavioural group therapy for problem gamblers who gamble over the internet: A controlled study. Journal of Gambling Issues, 33, 170-188.","10.4309/jgi.2016.33.10","Several studies have found higher rates of problem gambling among Internet gamblers than non-Internet gamblers. Because of easy access and convenience, along with other gaming characteristics, many researchers in the field have advanced the argument that Internet gambling is potentially more addictive and problematic than land-based gambling activities. However, research examining the efficacy of treatments for problem gamblers who gamble over the Internet has not yet been conducted. The purpose of the present study was to examine the efficacy of group cognitive behavioural therapy for self-identified problem Internet gamblers. (n = 16) or wait list (delayed treatment) comparison group (n = 16). Results indicated that the treatment was efficacious in improving three of the four dependent variables from pre- to post-test/treatment: number of DSM-IV criteria for pathological gambling endorsed, perception of control over gambling, and number of sessions gambled. No significant pre- to post-test/treatment difference was found between groups on desire to gamble. Groups were combined to examine treatment outcome over time, with results showing significant pre- to post-treatment and pre- to three-month post-treatment improvement for all four dependent variables.","Cognitive behavioural group therapy for problem gamblers who gamble over the internet: A controlled study","https://cdspress.ca/wp-content/uploads/2022/09/Nicholas-Harris-Dwight-Mazmanian.pdf","Journal of Gambling Issues","Harris, 2016","A - Western"
"9","Ladouceur, 2001","Ladouceur, 2001",2.65401837483631,0.341411191190517,"cbt","wl","Canada","H",NA,NA,"msd","gambling","severity","dsm-iv",0.4,0.8,35,5.7,2.8,29,NA,NA,2001,12,"post","ind","ind","can",42,0.17,0,0,0,0,0,"Ladouceur, R., Sylvain, C., Boutin, C., Lachance, S., Doucet, C., Leblond, J., & Jacques, C. (2001). Cognitive treatment of pathological gambling. The Journal of Nervous and Mental Disease, 189(11), 774-780.","10.1097/00005053-200111000-00007","This study evaluated the efficacy of a cognitive treatment package for pathological gambling. Sixty-six gamblers, meeting DSM-IV criteria for pathological gambling, were randomly assigned to treatment or wait-list control conditions. Cognitive correction techniques were used first to target gamblers' erroneous perceptions about randomness and then to address issues of relapse prevention. The dependent measures used were the South Oaks Gambling Screen, the number of DSM-IV criteria for pathological gambling met by participants, as well as gamblers' perception of control, frequency of gambling, perceived self-efficacy, and desire to gamble. Posttest results indicated highly significant changes in the treatment group on all outcome measures, and analysis of data from 6- and 12-month follow-ups revealed maintenance of therapeutic gains. Recommendations for clinical interventions are discussed, focusing on the cognitive correction of erroneous perceptions toward the notion of randomness.","Cognitive treatment of pathological gambling","https://journals.lww.com/jonmd/Fulltext/2001/11000/Cognitive_Treatment_of_Pathological_Gambling.7.aspx","The Journal of Nervous and Mental Disease","Ladouceur, 2001","A - Western"
"10","Ladouceur, 2003","Ladouceur, 2003",1.63709758929495,0.300502629681259,"cbt","wl","Canada","H",NA,NA,"msd","gambling","severity","dsm-iv",1.56,2.32,34,6,3.1,25,NA,NA,2003,12,"post","grp","grp","can",43.4,0.22,0,0,0,0,0,"Ladouceur, R., Sylvain, C., Boutin, C., Lachance, S., Doucet, C., & Leblond, J. (2003). Group therapy for pathological gamblers: A cognitive approach. Behaviour Research and Therapy, 41(5), 587-596.","10.1016/S0005-7967(02)00036-0","This study evaluated the efficacy of a group cognitive treatment for pathological gambling. Gamblers, meeting DSM-IV criteria for pathological gambling, were randomly assigned to treatment (N=34) or wait-list control (N=24) conditions. Cognitive correction techniques were used first to target gamblers’ erroneous perceptions about randomness, and then to address issues of relapse prevention. The dependent measures used were the DSM-IV criteria for pathological gambling, perceived self-efficacy, gamblers’ perception of control, desire to gamble, and frequency of gambling. Post-treatment results indicated that 88% of the treated gamblers no longer met the DSM-IV criteria for pathological gambling compared to only 20% in the control group. Similar changes were observed on all outcome measures. Analysis of data from 6-, 12- and 24-month follow-ups revealed maintenance of therapeutic gains. Recommendations for group interventions are discussed, focusing on the cognitive correction of erroneous perceptions toward the notion of randomness.","Group therapy for pathological gamblers: a cognitive approach","https://www.sciencedirect.com/science/article/pii/S0005796702000360","Behaviour Research and Therapy","Ladouceur, 2003","A - Western"
