"","study",".id",".g",".g_se","condition_arm1","condition_arm2","country_origin","income","contr_MA.","psy","ctr","multiple_arms_ig","multiple_arms_cg","descr_ig","descr_cg","comparison","outcome_type","sample","outc_type","outc_measure","sr_clinician","time","time_weeks","post_m_ig","post_sd_ig","post_n_ig","post_m_cg","post_sd_cg","post_n_cg","baseline_m_ig","baseline_sd_ig","baseline_n_ig","baseline_m_cg","baseline_sd_cg","baseline_n_cg","dich","dich_type","improved_n_ig","improved_n_cg","rand_n_ig","rand_n_cg","dropout_n_ig","dropout_n_cg","change_m_ig_new","change_m_cg_new","change_sd_ig","change_sd_cg","change_n_ig","change_n_cg","other_statistic","year","comorbid_mental","format","format_details","n_sessions_ig","country","age_group","mean_age","percent_women","recruitment","diagnosis","target_group","d1","d2","d3","d4","d5","ROB","itt","no.arms","is.multiarm","totaln_arm2","totaln_arm1","event_arm2","event_arm1","n_arm2","n_arm1","sd_arm2","sd_arm1","mean_arm2","mean_arm1","multi_arm2","multi_arm1","rob",".log_rr",".log_rr_se",".event_arm1",".event_arm2",".totaln_arm1",".totaln_arm2","full_ref",".id.1","culture"
"1","Alavi, 2020","Alavi_2020_msd_12_sr_cbt_cau_NA_NA",1.67646657594636,0.271084899400218,"cbt","cau","Iran","LM",1,"cbt","cau",NA,NA,"Computer-based CBT presented through Microsoft PowerPoint and delivered via email","The control group completed BAIs at the same timepoints; however they did not receive any treatment and were free to quit thestudy at any time to pursue treatment. Any participant who started a new treatment was excluded from the study. Subjects in the control group did not have access or were experiencing a barrier to receiving in-person treatment or were on a wait list.","PSYvsCTR","msd","co","gen anx","BAI","sr","post",12,25.38,"7.03","36.0",37.1,"6.81","38.0",37.66,"7.13","40.0",37,"7.13","40.0",NA,NA,NA,NA,"40.0","40.0","4.0","2.0",NA,NA,NA,NA,NA,NA,NA,2020,"n","gsh","gsh",12,"oth","adul",31.1,58.75,"com","gad","adul","some concerns","some concerns","low risk","low risk","some concerns","some concerns",0,2,0,40,40,NA,NA,38,36,6.81,7.03,37.1,25.38,NA,NA,0,NA,NA,NA,NA,NA,NA,"Alavi, N., & Hirji, A. (2020). The Efficacy of PowerPoint-based CBT Delivered Through Email: Breaking the Barriers to Treatment for Generalized Anxiety Disorder. Journal of Psychiatric Practice, 26(2), 89-100. doi:10.1097/PRA.0000000000000455","Alavi_2020_msd_12_sr_cbt_cau_NA_NA","B - Non-Western"
"2","Andersson, 2012","Andersson_2012_msd_8_sr_cbt_wl_cbt_wl",0.215274979445237,0.287103180731833,"cbt","wl","Sweden","H",1,"cbt","wl","cbt","wl","iCBT (internet-based)",NA,"PSYvsCTR","msd","co","worry","PSWQ","sr","post",8,60.78,"9.83","23.0",62.88,"9.39","26.0",67.89,"6.19","27.0",68.52,"6.24","27.0",NA,NA,NA,NA,"27.0","27.0","4.0","1.0",NA,NA,NA,NA,NA,NA,NA,2012,"n","gsh","gsh",8,"eu","adul",40.13,77.77,"com","gad","adul","low risk","high risk","some concerns","low risk","low risk","high risk",0,3,1,27,27,NA,NA,26,23,9.39,9.83,62.88,60.78,"wl","cbt",0,NA,NA,NA,NA,NA,NA,"Andersson, G., Paxling, B., Roch-Norlund, P., Ostman, G., Norgren, A., Almlov, J., . . . Silverberg, F. (2012). Internet-based psychodynamic versus cognitive behavioral guided self-help for generalized anxiety disorder: a randomized controlled trial. Psychother Psychosom, 81(6), 344-355. doi:10.1159/000339371","Andersson_2012_msd_8_sr_cbt_wl_cbt_wl","A - Western"
"3","Andersson, 2012","Andersson_2012_msd_8_sr_dyn_wl_dyn_wl",0.114524183406901,0.277584366334222,"dyn","wl","Sweden","H",1,"dyn","wl","dyn","wl","IPDT (Internet-based psychodynamic treatment)",NA,"PSYvsCTR","msd","co","worry","PSWQ","sr","post",8,61.88,"7.73","26.0",62.88,"9.39","26.0",69.74,"5.56","27.0",68.52,"6.24","27.0",NA,NA,NA,NA,"27.0","27.0","1.0","1.0",NA,NA,NA,NA,NA,NA,NA,2012,"n","gsh","gsh",8,"eu","adul",40.13,77.77,"com","gad","adul","low risk","high risk","some concerns","low risk","low risk","high risk",0,3,1,27,27,NA,NA,26,26,9.39,7.73,62.88,61.88,"wl","dyn",0,NA,NA,NA,NA,NA,NA,"Andersson, G., Paxling, B., Roch-Norlund, P., Ostman, G., Norgren, A., Almlov, J., . . . Silverberg, F. (2012). Internet-based psychodynamic versus cognitive behavioral guided self-help for generalized anxiety disorder: a randomized controlled trial. Psychother Psychosom, 81(6), 344-355. doi:10.1159/000339371","Andersson_2012_msd_8_sr_dyn_wl_dyn_wl","A - Western"
"4","Andersson, 2012","Andersson_2012_msd_8_sr_cbt_wl_cbt_wl",-0.0031254693247278,0.286251466873408,"cbt","wl","Sweden","H",1,"cbt","wl","cbt","wl","iCBT (internet-based)",NA,"PSYvsCTR","msd","co","GAD","GAD-Q-IV","sr","post",8,8.53,"2.37","23.0",8.52,"3.7","26.0",10.44,"1.09","27.0",10.82,"1.2","27.0",NA,NA,NA,NA,"27.0","27.0","4.0","1.0",NA,NA,NA,NA,NA,NA,NA,2012,"n","gsh","gsh",8,"eu","adul",40.13,77.77,"com","gad","adul","low risk","high risk","some concerns","low risk","low risk","high risk",0,3,1,27,27,NA,NA,26,23,3.7,2.37,8.52,8.53,"wl","cbt",0,NA,NA,NA,NA,NA,NA,"Andersson, G., Paxling, B., Roch-Norlund, P., Ostman, G., Norgren, A., Almlov, J., . . . Silverberg, F. (2012). Internet-based psychodynamic versus cognitive behavioral guided self-help for generalized anxiety disorder: a randomized controlled trial. Psychother Psychosom, 81(6), 344-355. doi:10.1159/000339371","Andersson_2012_msd_8_sr_cbt_wl_cbt_wl","A - Western"
"5","Andersson, 2012","Andersson_2012_msd_8_sr_dyn_wl_dyn_wl",0.0505029090309542,0.277395670256741,"dyn","wl","Sweden","H",1,"dyn","wl","dyn","wl","IPDT (Internet-based psychodynamic treatment)",NA,"PSYvsCTR","msd","co","GAD","GAD-Q-IV","sr","post",8,8.34,"3.31","26.0",8.52,"3.7","26.0",10.95,"1.14","27.0",10.82,"1.2","27.0",NA,NA,NA,NA,"27.0","27.0","1.0","1.0",NA,NA,NA,NA,NA,NA,NA,2012,"n","gsh","gsh",8,"eu","adul",40.13,77.77,"com","gad","adul","low risk","high risk","some concerns","low risk","low risk","high risk",0,3,1,27,27,NA,NA,26,26,3.7,3.31,8.52,8.34,"wl","dyn",0,NA,NA,NA,NA,NA,NA,"Andersson, G., Paxling, B., Roch-Norlund, P., Ostman, G., Norgren, A., Almlov, J., . . . Silverberg, F. (2012). Internet-based psychodynamic versus cognitive behavioral guided self-help for generalized anxiety disorder: a randomized controlled trial. Psychother Psychosom, 81(6), 344-355. doi:10.1159/000339371","Andersson_2012_msd_8_sr_dyn_wl_dyn_wl","A - Western"
"6","Andersson, 2012","Andersson_2012_msd_8_sr_cbt_wl_cbt_wl",0.488135014653391,0.290604741225905,"cbt","wl","Sweden","H",1,"cbt","wl","cbt","wl","iCBT (internet-based)",NA,"PSYvsCTR","msd","co","gen anx","BAI","sr","post",8,15.09,"6.99","23.0",19.52,"10.34","26.0",24.3,"9.1","27.0",23.7,"10.61","27.0",NA,NA,NA,NA,"27.0","27.0","4.0","1.0",NA,NA,NA,NA,NA,NA,NA,2012,"n","gsh","gsh",8,"eu","adul",40.13,77.77,"com","gad","adul","low risk","high risk","some concerns","low risk","low risk","high risk",0,3,1,27,27,NA,NA,26,23,10.34,6.99,19.52,15.09,"wl","cbt",0,NA,NA,NA,NA,NA,NA,"Andersson, G., Paxling, B., Roch-Norlund, P., Ostman, G., Norgren, A., Almlov, J., . . . Silverberg, F. (2012). Internet-based psychodynamic versus cognitive behavioral guided self-help for generalized anxiety disorder: a randomized controlled trial. Psychother Psychosom, 81(6), 344-355. doi:10.1159/000339371","Andersson_2012_msd_8_sr_cbt_wl_cbt_wl","A - Western"
"7","Andersson, 2012","Andersson_2012_msd_8_sr_dyn_wl_dyn_wl",0.372168117292633,0.279814183394721,"dyn","wl","Sweden","H",1,"dyn","wl","dyn","wl","IPDT (Internet-based psychodynamic treatment)",NA,"PSYvsCTR","msd","co","gen anx","BAI","sr","post",8,15.88,"8.87","26.0",19.52,"10.34","26.0",25.26,"8.59","27.0",23.7,"10.61","27.0",NA,NA,NA,NA,"27.0","27.0","1.0","1.0",NA,NA,NA,NA,NA,NA,NA,2012,"n","gsh","gsh",8,"eu","adul",40.13,77.77,"com","gad","adul","low risk","high risk","some concerns","low risk","low risk","high risk",0,3,1,27,27,NA,NA,26,26,10.34,8.87,19.52,15.88,"wl","dyn",0,NA,NA,NA,NA,NA,NA,"Andersson, G., Paxling, B., Roch-Norlund, P., Ostman, G., Norgren, A., Almlov, J., . . . Silverberg, F. (2012). Internet-based psychodynamic versus cognitive behavioral guided self-help for generalized anxiety disorder: a randomized controlled trial. Psychother Psychosom, 81(6), 344-355. doi:10.1159/000339371","Andersson_2012_msd_8_sr_dyn_wl_dyn_wl","A - Western"
"8","Bakhshani, 2007","Bakhshani_2007_msd_8_sr_cbt_otherctr_NA_NA",-0.345517283936946,0.5390539518031,"cbt","other ctr","Iran","LM",1,"cbt","other ctr",NA,NA,NA,"TCA + BZP","PSYvsCTR","msd","co","gen anx","HAMA","sr","post",8,11.43,"3.3","7.0",9.86,"5.03","7.0",20.57,"4.2","7.0",26.89,"4.06","7.0",NA,NA,NA,NA,"7.0","7.0","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,2007,"n","ind","ind",8,"oth","adul",26.67,30,"clin","gad","adul","some concerns","high risk","low risk","high risk","some concerns","high risk",0,2,0,7,7,NA,NA,7,7,5.03,3.3,9.86,11.43,NA,NA,0,NA,NA,NA,NA,NA,NA,"Bakhshani, N. M., Lashkaripour, K., & Sadjadi, S. A. (2007). Effectiveness of short term cognitive behavior therapy in patients with generalized anxiety disorder. Journal of Medical Sciences, 7(7), 1076-1081. doi:10.3923/jms.2007.1076.1081","Bakhshani_2007_msd_8_sr_cbt_otherctr_NA_NA","B - Non-Western"
"9","Bakhshani, 2007","Bakhshani_2007_msd_8_sr_cbt_pl_NA_NA",1.02855853726432,0.597114616079292,"cbt","pl","Iran","LM",1,"cbt","pl",NA,NA,NA,"Placebo","PSYvsCTR","msd","co","gen anx","HAMA","sr","post",8,11.43,"3.3","7.0",17.92,"7.92","6.0",20.57,"4.2","7.0",20.5,"3.99","6.0",NA,NA,NA,NA,"7.0","7.0","0.0","1.0",NA,NA,NA,NA,NA,NA,NA,2007,"n","ind","ind",8,"oth","adul",26.67,30,"clin","gad","adul","some concerns","high risk","low risk","high risk","some concerns","high risk",0,2,0,7,7,NA,NA,6,7,7.92,3.3,17.92,11.43,NA,NA,0,NA,NA,NA,NA,NA,NA,"Bakhshani, N. M., Lashkaripour, K., & Sadjadi, S. A. (2007). Effectiveness of short term cognitive behavior therapy in patients with generalized anxiety disorder. Journal of Medical Sciences, 7(7), 1076-1081. doi:10.3923/jms.2007.1076.1081","Bakhshani_2007_msd_8_sr_cbt_pl_NA_NA","B - Non-Western"
"10","Bakhshani, 2007","Bakhshani_2007_msd_8_sr_otherctr_pl_NA_NA",1.15263626944413,0.607103722636992,"other ctr","pl","Iran","LM",1,"other ctr","pl",NA,NA,NA,NA,"PSYvsCTR","msd","co","gen anx","HAMA","sr","post",8,9.86,"5.03","7.0",17.92,"7.92","6.0",26.89,"4.06","7.0",20.5,"3.99","6.0",NA,NA,NA,NA,"7.0","7.0","0.0","1.0",NA,NA,NA,NA,NA,NA,NA,2007,"n","ind","ind",8,"oth","adul",26.67,30,"clin","gad","adul","some concerns","high risk","low risk","high risk","some concerns","high risk",0,2,0,7,7,NA,NA,6,7,7.92,5.03,17.92,9.86,NA,NA,0,NA,NA,NA,NA,NA,NA,"Bakhshani, N. M., Lashkaripour, K., & Sadjadi, S. A. (2007). Effectiveness of short term cognitive behavior therapy in patients with generalized anxiety disorder. Journal of Medical Sciences, 7(7), 1076-1081. doi:10.3923/jms.2007.1076.1081","Bakhshani_2007_msd_8_sr_otherctr_pl_NA_NA","B - Non-Western"
