"","study",".id",".g",".g_se","condition_arm1","condition_arm2","country_origin","income","multi_arm1","multi_arm2","year","time_weeks","time","format","format_details","n_sessions_arm1","country","age_group","mean_age","percent_women","recruitment","diagnosis","target_group","rob","notes","full_ref","culture"
"1","Abramowitz, 2009","Abramowitz_2009_msd_BSPS_post_NA_cr_cbt_wlc_NA_NA",1.12932189289906,0.473136560320295,"cbt","wlc","USA","H",NA,NA,2009,8,"post","gsh","gsh",8,"North America","adul",43.4,0.76,"com","sad","adul",0,NA,"Abramowitz, J. S., Moore, E. L., Braddock, A. E., & Harrington, D. L. (2009). Self-help cognitive-behavioral therapy with minimal therapist contact for social phobia: a controlled trial. J Behav Ther Exp Psychiatry, 40(1), 98-105. https://doi.org/10.1016/j.jbtep.2008.04.004 ","A - Western"
"2","Abramowitz, 2009","Abramowitz_2009_msd_SIAS_post_NA_self-report_cbt_wlc_NA_NA",0.741581091078142,0.452898276106858,"cbt","wlc","USA","H",NA,NA,2009,8,"post","gsh","gsh",8,"North America","adul",43.4,0.76,"com","sad","adul",0,NA,"Abramowitz, J. S., Moore, E. L., Braddock, A. E., & Harrington, D. L. (2009). Self-help cognitive-behavioral therapy with minimal therapist contact for social phobia: a controlled trial. J Behav Ther Exp Psychiatry, 40(1), 98-105. https://doi.org/10.1016/j.jbtep.2008.04.004 ","A - Western"
"3","Abramowitz, 2009","Abramowitz_2009_msd_STAI-trait_post_NA_self-report_cbt_wlc_NA_NA",0.0330499490072489,0.43696374042093,"cbt","wlc","USA","H",NA,NA,2009,8,"post","gsh","gsh",8,"North America","adul",43.4,0.76,"com","sad","adul",0,NA,"Abramowitz, J. S., Moore, E. L., Braddock, A. E., & Harrington, D. L. (2009). Self-help cognitive-behavioral therapy with minimal therapist contact for social phobia: a controlled trial. J Behav Ther Exp Psychiatry, 40(1), 98-105. https://doi.org/10.1016/j.jbtep.2008.04.004 ","A - Western"
"4","Anderson, 2013","Anderson_2013_msd_PRCS_post_NA_self-report_cbt_wlc_cbt(group)_wlc",1.22550523269277,0.26986565151561,"cbt","wlc","USA","H","cbt (group)","wlc",2013,8,"post","grp","grp",8,"North America","adul",39.03,0.619,"com","sad","adul",0,NA,"Anderson, P. L., Price, M., Edwards, S. M., Obasaju, M. A., Schmertz, S. K., Zimand, E., & Calamaras, M. R. (2013). Virtual reality exposure therapy for social anxiety disorder: a randomized controlled trial. J Consult Clin Psychol, 81(5), 751-760. https://doi.org/10.1037/a0033559 ","A - Western"
"5","Anderson, 2013","Anderson_2013_msd_PRCS_post_NA_self-report_cbt_wlc_cbt(VRET)_wlc",1.16217989172676,0.284624272984466,"cbt","wlc","USA","H","cbt (VRET)","wlc",2013,8,"post","Mixed/oth","grp + vr",8,"North America","adul",39.03,0.619,"com","sad","adul",0,NA,"Anderson, P. L., Price, M., Edwards, S. M., Obasaju, M. A., Schmertz, S. K., Zimand, E., & Calamaras, M. R. (2013). Virtual reality exposure therapy for social anxiety disorder: a randomized controlled trial. J Consult Clin Psychol, 81(5), 751-760. https://doi.org/10.1037/a0033559 ","A - Western"
"6","Anderson, 2013","Anderson_2013_msd_FNE-B_post_NA_self-report_cbt_wlc_cbt(group)_wlc",0.386830844482815,0.249996679329327,"cbt","wlc","USA","H","cbt (group)","wlc",2013,8,"post","grp","grp",8,"North America","adul",39.03,0.619,"com","sad","adul",0,NA,"Anderson, P. L., Price, M., Edwards, S. M., Obasaju, M. A., Schmertz, S. K., Zimand, E., & Calamaras, M. R. (2013). Virtual reality exposure therapy for social anxiety disorder: a randomized controlled trial. J Consult Clin Psychol, 81(5), 751-760. https://doi.org/10.1037/a0033559 ","A - Western"
"7","Anderson, 2013","Anderson_2013_msd_FNE-B_post_NA_self-report_cbt_wlc_cbt(VRET)_wlc",0.282656098573649,0.26411224227209,"cbt","wlc","USA","H","cbt (VRET)","wlc",2013,8,"post","Mixed/oth","grp + vr",8,"North America","adul",39.03,0.619,"com","sad","adul",0,NA,"Anderson, P. L., Price, M., Edwards, S. M., Obasaju, M. A., Schmertz, S. K., Zimand, E., & Calamaras, M. R. (2013). Virtual reality exposure therapy for social anxiety disorder: a randomized controlled trial. J Consult Clin Psychol, 81(5), 751-760. https://doi.org/10.1037/a0033559 ","A - Western"
"8","Andersson, 2006","Andersson_2006_msd_BAI_post_NA_self-report_cbt_wlc_NA_NA",0.579107409206834,0.255313269249379,"cbt","wlc","Sweden","H",NA,NA,2006,9,"post","Mixed/oth","gsh + grp",11,"Europe","adul",37.3,0.516,"com","sad","adul",0,NA,"Andersson, G., Carlbring, P., Holmstrom, A., Sparthan, E., Furmark, T., Nilsson-Ihrfelt, E., Buhrman, M., & Ekselius, L. (2006). Internet-based self-help with therapist feedback and in vivo group exposure for social phobia: a randomized controlled trial. J Consult Clin Psychol, 74(4), 677-686. https://doi.org/10.1037/0022-006x.74.4.677 ","A - Western"
"9","Andersson, 2006","Andersson_2006_msd_SPSQ_post_NA_self-report_cbt_wlc_NA_NA",1.07146643920964,0.267751697859267,"cbt","wlc","Sweden","H",NA,NA,2006,9,"post","Mixed/oth","gsh + grp",11,"Europe","adul",37.3,0.516,"com","sad","adul",0,NA,"Andersson, G., Carlbring, P., Holmstrom, A., Sparthan, E., Furmark, T., Nilsson-Ihrfelt, E., Buhrman, M., & Ekselius, L. (2006). Internet-based self-help with therapist feedback and in vivo group exposure for social phobia: a randomized controlled trial. J Consult Clin Psychol, 74(4), 677-686. https://doi.org/10.1037/0022-006x.74.4.677 ","A - Western"
"10","Andersson, 2006","Andersson_2006_msd_SPS_post_NA_self-report_cbt_wlc_NA_NA",0.662434764232694,0.25693014621058,"cbt","wlc","Sweden","H",NA,NA,2006,9,"post","Mixed/oth","gsh + grp",11,"Europe","adul",37.3,0.516,"com","sad","adul",0,NA,"Andersson, G., Carlbring, P., Holmstrom, A., Sparthan, E., Furmark, T., Nilsson-Ihrfelt, E., Buhrman, M., & Ekselius, L. (2006). Internet-based self-help with therapist feedback and in vivo group exposure for social phobia: a randomized controlled trial. J Consult Clin Psychol, 74(4), 677-686. https://doi.org/10.1037/0022-006x.74.4.677 ","A - Western"
