study,condition_arm1,condition_arm2,multi_arm1,multi_arm2,outcome_type,instrument,completer,time,time_weeks,rating,mean_arm1,sd_arm1,n_arm1,mean_arm2,sd_arm2,n_arm2,m_baseline_arm1,sd_baseline_arm1,n_baseline_arm1,m_baseline_arm2,sd_baseline_arm2,n_baseline_arm2,dich_type,event_arm1,event_arm2,totaln_arm1,totaln_arm2,.g,.g_se,condition_arm1.detail,condition_arm2.detail,condition_arm1.lumped_category,condition_arm1.intermediate_category,condition_arm1.meta_analysis,n_randomized_arm1,n_randomized_arm2,total_n_randomized,condition_arm1.psychotherapy_subclass,condition_arm1.treatment_description,condition_arm1.session_length,condition_arm1.frequency,condition_arm1.treatment_duration_detail,format,delivery_method,narrow_category,study_class,def_treatment_completion,percent_completed,psychotherapy_sessions_mean,psychotherapy_sessions_sd,psychotherapy_sessions_qual,military_status,percent_community,mean_age,country,female_percent,trauma_type,trauma_detail,rob_d1,rob_d2,rob_d3,rob_d4,rob_d5,rob,rob_numeric,arms_compared,year_added_to_ptsd_repository,intervention_group_ctr,design,outcome_assessment_type,statistical_analysis,g_data_source,precalc_g,precalc_g_se,intervention_group.arm1,intervention_group.arm2,year_added_to_repo,.id,ptsd_pubs_id,study_id,.log_rr,.log_rr_se,.event_arm1,.event_arm2,.totaln_arm1,.totaln_arm2,trtResponder,nTrt,ctrResponder,nCtr,logRR,seLogRR,logOR,seLogOR,full_ref
"Acarturk, 2016",EMDR,Waitlist,,,precalc_g_from_va,IES,itt,post,,self-report,21.36,16.788,37,,,,59.69,13.65,49,62.55,12.46,49,,,,,,2.219,0.307,Eye Movement Desensitization and Reprocessing (EMDR),Waitlist,EMDR,EMDR,EMDR,49,49,98,Trauma-focused,"Patient asked to make eye movements or exposed to bilateral tones or tapping while recalling traumatic events, with focus on most recent traumatic events with an extended time perspective.",,,8 phases,Individual,In Person,EMDR,Psychotherapy,completed full EMDR therapy,0.7551,4.2,1.3,,Community,1,33.68,Turkey,0.7449,Terrorism/political violence/forced displacement,NR,Low,Some Concerns,Low,Low,Low,Some Concerns,2,A vs B,2019,B,ps-ct,Self report,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change",Follow-up,2.219,0.307,A,B,2019,Acarturk_2016_precalcfromVA_IES_post_NA_self-report_EMDR_Waitlist_NA_NA,45262,acarturk2016,,,,,,,26,37,,,,,,,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367."
"Ahmadi, 2015",EMDR,Waitlist,,,precalc_g_from_va,M-PTSD,completer,post,,self-report,,,,,,,,,,,,,,,,,,2.325,0.561,Eye Movement Desensitization and Reprocessing (EMDR),Waitlist,EMDR,EMDR,EMDR,16,16,48,Trauma-focused,"Sequences of large-magnitude, rhythmic saccadic eye movements while holding in mind the most salient aspect of a traumatic memory. (As described in: Shapiro F. Eye movement desensitization: a new treatment for post-traumatic stress disorder. J Behav Ther Exp Psychiatry. 1989 Sep;20(3):211-7. PubMed PMID: 2576656.)",,,,Individual,In Person,EMDR,Other mixed,,,,,,Active Duty Military,0,29.9,Iran,0,Combat-related,NR,Some Concerns,High,Some Concerns,Some Concerns,Low,High,1,A vs C,2019,C,ps-ct,Self report,ANOVA for continuous variables; Tukey's test for multiple comparisons,Change,2.325,0.561,A,C,2019,Ahmadi_2015_precalcfromVA_M-PTSD_post_NA_self-report_EMDR_Waitlist_NA_NA,46896,ahmadi2015,,,,,,,,,,,,,,,"Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553."
"Aldahadha, 2012",EMDR,Waitlist,,,msd,TSI,completer,post,,self-report,43.76,5.11,25,58.08,6.62,22,58.48,6.66,25,59.31,6.9,26,,,,,,2.401393672,0.3858905987,Eye Movement Desensitization and Reprocessing (EMDR),Waitlist,EMDR,EMDR,EMDR,25,26,51,Trauma-focused,"Patient asked to focus on traumatic memory, then therapist queries for salient negative and positive cognitions related to the targeted memory while patients move his/her eyes to the therapist's index finger",,Once every 3 weeks,2 to 3 sessions total,Individual,In Person,EMDR,Psychotherapy,,,,,,Community,1,26.41,Oman,0.5294,Accidents,NR,Some Concerns,High,Low,High,Low,High,1,A vs B,2019,B,ps-ct,Self report,ANOVA,Follow-up,2.401,0.39,A,B,2019,Aldahadha_2012_precalcfromVA_TSI_post_NA_self-report_EMDR_Waitlist_NA_NA,1548482,aldahadha2012,,,,,,,0,25,0,22,,Inf,,Inf,"Aldahadha B, Al-Harthy H, Sulaiman S. The Efficacy of Eye Movement Desensitization Reprocessing in Resolving the Trauma Caused by the Road Accidents in the Sultanate of Oman. Journal of Instructional Psychology. 2012;39(3/4):146-58."
"Alghamdi, 2015",NET,Waitlist,,,precalc_g_from_va,SPTSS,itt,post,3,self-report,,,,,,,,,,,,,,,,,,2.071,0.434,Narrative Exposure Therapy (NET),Waitlist,TF-CBT,Primarily exposure,Prim exposure,17,17,34,Trauma-focused,Patients narrate their biography and encouraged to relive their trauma-related emotions until habituation was achieved,60 to 90 minutes,Every 2-4 days,,Individual,In Person,NET,Psychotherapy,,,,,,Community,1,30.4,Saudi Arabia,0,NR,NR,Some Concerns,Low,Low,High,Low,High,1,A vs B,2020,B,ps-ct,Self report,"ANCOVA and Hedges' g for change in mean score between groups, paired t-test for within-group",Change,2.071,0.434,A,B,2020,Alghamdi_2015_precalcfromVA_SPTSS_post_3.00_self-report_NET_Waitlist_NA_NA,46524,alghamdi2015,,,,,,,,,,,,,,,"Alghamdi M, Hunt NC, Thomas SA. The effectiveness of narrative exposure therapy with traumatised firefighters in Saudi Arabia: a randomized controlled study. Behav Res Ther. 2015 Mar;66:64-71. doi: 10.1016/j.brat.2015.01.008. PMID: 25701801."
"Alsheikh Ali, 2020",Other non-trauma-focused,Other,,,msd,PCL,itt,post,6,self-report,41.55,7.11,20,58,8.16,20,57.65,11.19,20,59.45,8.01,20,,,,,,2.106770954,0.3971814146,Non-trauma-focused counseling,No treatment,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,20,20,40,Non-Trauma-focused,Group counseling program consisting of four domains: alienation; loss and grief; hope and hopelessness; psychological problems. Sessions targeted these domains and used psycho-education techniques and teaching coping strategies.,,Twice a week,"""program was implemented for 1.5 months, two sessions per week""",Group,In Person,Other non-trauma-focused,Psychotherapy,,,,,,Community,1,,Jordan,1,Terrorism/political violence/forced displacement,,Some Concerns,Some Concerns,High,High,Low,High,1,A vs B,2022,B,ps-ct,Self report,2-way MANOVA,Follow-up,2.11,0.4,A,B,2022,AlsheikhAli_2020_precalcfromVA_PCL_post_6.00_self-report_Othernon-trauma-focused_Other_NA_NA,1558371,alsheikhali2020,,,,,,,1,20,0,20,Inf,Inf,Inf,Inf,Alsheikh Ali ASS. Efficiency of Intervention Counseling Program on the Enhanced Psychological Well-being and Reduced Post-traumatic Stress Disorder Symptoms Among Syrian Women Refugee Survivors. Clin Pract Epidemiol Ment Health. 2020 Jul 30;16(Suppl-1):134-141. doi: 10.2174/1745017902016010134. PMID: 33029190; PMCID: PMC7536727.
"Arntz, 2007",Exposure Therapy,Waitlist,Imaginal exposure + imagery rescripting A,Waitlist,precalc_g_from_va,PSS-SR,completer,post,10,self-report,,,,,,,,,,,,,,,,,,0.649,0.336,Imaginal exposure + imagery rescripting,Waitlist,TF-CBT,Primarily exposure,Prim exposure,28,21,67,Trauma-focused,"Imaginal exposure portion based on program by Foa & Rothbaum (1989) with 60 minutes of imagery work each session; 3 sessions of imaginal exposure only, then 6 sessions focused on identifying and imagining reacting as they wished they had done, until a satisfying response could be used repetitively in imagery.",90 minutes,Weekly,,Individual,In Person,Exposure Therapy,Psychotherapy,completed ≥8 sessions,0.75,,,,Community,1,35.36,The Netherlands,0.6567,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)",High,High,High,Some Concerns,Some Concerns,High,1,A vs C,2019,C,ps-ps-ct,Self report,Repeated measures ANOVA with Greenhouse-Geisser corrected degrees of freedom when indicated; robust ANCOVA with bootstrap technique to estimate significance levels when assumptions of parametric analysis were violated; effect sizes as Cohen's d or eta-squared; chi-squared and logistic regression for clinically meaningful response.,Follow-up,0.649,0.336,A,C,2019,Arntz_2007_precalcfromVA_PSS-SR_post_10.00_self-report_ExposureTherapy_Waitlist_Imaginalexposure+imageryrescriptingA_Waitlist,30284,arntz2007,,,,,,,,,,,,,,,"Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. J Behav Ther Exp Psychiatry. 2007 Dec;38(4):345-70. doi: 10.1016/j.jbtep.2007.10.006. PMID: 18005935."
"Arntz, 2007",Exposure Therapy,Waitlist,Imaginal exposure B,Waitlist,precalc_g_from_va,PSS-SR,completer,post,10,self-report,,,,,,,,,,,,,,,,,,0.738,0.346,Imaginal exposure,Waitlist,TF-CBT,Primarily exposure,Prim exposure,39,21,67,Trauma-focused,"Based on the program by Foa & Rothbaum (1989) with 60 minutes of imagery exposure, but no in vivo exposure. Homework to listen to audiotaped exposure session 5 days per week and complete Standard Homework Diary Forms, which were reviewed at each therapy session.",90 minutes,Weekly,,Individual,In Person,Exposure Therapy,Psychotherapy,completed ≥8 sessions,0.4872,,,,Community,1,35.36,The Netherlands,0.6567,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)",High,High,High,Some Concerns,Some Concerns,High,1,B vs C,2019,C,ps-ps-ct,Self report,Repeated measures ANOVA with Greenhouse-Geisser corrected degrees of freedom when indicated; robust ANCOVA with bootstrap technique to estimate significance levels when assumptions of parametric analysis were violated; effect sizes as Cohen's d or eta-squared; chi-squared and logistic regression for clinically meaningful response.,Follow-up,0.738,0.346,B,C,2019,Arntz_2007_precalcfromVA_PSS-SR_post_10.00_self-report_ExposureTherapy_Waitlist_ImaginalexposureB_Waitlist,30284,arntz2007,,,,,,,,,,,,,,,"Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. J Behav Ther Exp Psychiatry. 2007 Dec;38(4):345-70. doi: 10.1016/j.jbtep.2007.10.006. PMID: 18005935."
"Asukai, 2010",PE,TAU,,,msd,CAPS,itt,post,,clinician,43.76,29.202,12,84.81,27.574,12,84.58,26.951,12,84.33,26.951,12,,,,,,1.395596696,0.4584688094,Prolonged Exposure (PE),Treatment as usual (TAU),TF-CBT,Primarily exposure,Prim exposure,12,12,24,Trauma-focused,"PE: manualized therapy consisting of psychoeducation, breathing retraining, in vivo exposure, imagery exposure, and processing; 2 introductory sessions and imagery exposure and processing during remaining sessions (6 to maximum of 13 sessions).





TAU: participants continued any treatment received before the study, including supportive counseling and medication; patients were asked to not change medication or dosages for duration of treatment.",90 minutes,Weekly,,Individual,In Person,PE,Psychotherapy,,0.75,,,,Community,1,29.3,Japan,0.875,Mixed,"rape/sexual assault, accidents, community/school violence",Some Concerns,Low,Low,Low,Some Concerns,Some Concerns,2,A vs B,2019,B,ps-ct,Structured Clinical Interview,Repeated measurement mixed-effect model with compound symmetry error structure; Hedges' g effect sizes,Follow-up,1.396,0.463,A,B,2019,Asukai_2010_precalcfromVA_CAPS_post_NA_clinician_PE_TAU_NA_NA,84311,asukai2010,,,,,,,6,12,1,12,1.791759469228055,1,2.397895272798371,1.19341628287971,"Asukai N, Saito A, Tsuruta N, et al. Efficacy of exposure therapy for Japanese patients with posttraumatic stress disorder due to mixed traumatic events: A randomized controlled study. J Trauma Stress. 2010 Dec;23(6):744-50. doi: 10.1002/jts.20589. PMID: 21171135."
"Basoglu, 2005",TF-CBT,Waitlist,,,msd,CAPS,completer,post,1,clinician,44.4,25,31,54.7,21.4,28,67.8,16.5,31,60.5,14.1,28,,,,,,0.4350232507,0.2638548261,Trauma-focused cognitive behavioral therapy (TF-CBT),Waitlist,TF-CBT,Mixed exposure/ cognitive,TF-CBT,31,28,59,Trauma-focused,"Shorter version of CBT with cognitive intervention limited to explanation of treatment rationale, focusing on reduction of fear and avoidance, and shifting focus from habituation to anxiogenic stimuli to enhancement of sense of control over traumatic stressor",60 minutes,Once,,Individual,In Person,TF-CBT,Psychotherapy,,,,,,Community,1,36.3,Turkey,0.8475,Natural or manmade disasters,NR,Low,Low,Low,Low,Low,Low,3,A vs B,2019,B,ps-ct,Structured Clinical Interview,Repeated measures ANOVA and Cohen's d for change in mean score,Follow-up,0.435,0.264,A,B,2019,Basoglu_2005_precalcfromVA_CAPS_post_1.00_clinician_TF-CBT_Waitlist_NA_NA,18886,basoglu2005,,,,,,,10,31,4,28,0.8145080375642129,0.5310627550201438,1.049822124498678,0.6627863262664027,"Basoglu M, Salcioglu E, Livanou M, et al. Single-session behavioral treatment of earthquake-related posttraumatic stress disorder: a randomized waiting list controlled trial. J Trauma Stress. 2005;18(1):1-11. doi: 10.1002/jts.20011. PMID: 16281190."
"Basoglu, 2007",Exposure Therapy,Waitlist,,,msd,CAPS,itt,post,1,clinician,38.7,18.7,15,54.5,16.9,15,63.1,10.1,16,62.3,14.5,15,,,,,,0.8625483204,0.3826638304,Exposure therapy,Waitlist,TF-CBT,Primarily exposure,Prim exposure,16,15,31,Trauma-focused,"Treatment rationale, treatment target setting, and self-exposure instructions provided in first session. Then patients were exposed to simulated earthquake tremors with ability to control intensity, and instructed to confront their fear until they felt in control","60 for first session, variable for simulation (mean 33 minutes, SD 18)",Once,,Individual,In Person,Exposure Therapy,Psychotherapy,,,,,,Community,1,34,Turkey,0.871,Natural or manmade disasters,NR,Low,High,Low,High,Some Concerns,High,1,A vs B,2020,B,ps-ct,Structured Clinical Interview,Repeated measures ANOVA and Cohen's d for change in mean score,Follow-up,0.863,0.384,A,B,2020,Basoglu_2007_precalcfromVA_CAPS_post_1.00_clinician_ExposureTherapy_Waitlist_NA_NA,29446,basoglu2007,,,,,,,5,15,1,15,1.6094379124341,1.032795558988644,1.945910149055313,1.17108008753824,"Basoglu M, Salcioglu E, Livanou M. A randomized controlled study of single-session behavioural treatment of earthquake-related post-traumatic stress disorder using an earthquake simulator. Psychological Medicine. 2007;37(2):203-13. doi: 10.1017/S0033291706009123. PMID: 17254365."
