study,condition_arm1,condition_arm2,multi_arm1,multi_arm2,outcome_type,instrument,rating,mean_arm1,sd_arm1,n_arm1,mean_arm2,sd_arm2,n_arm2,mean_change_arm1,mean_change_arm2,sd_change_arm1,sd_change_arm2,n_change_arm1,n_change_arm2,dich_paper,event_arm1,event_arm2,totaln_arm1,totaln_arm2,precalc_g,precalc_g_se,precalc_log_rr,precalc_log_rr_se,other_stat,bl_mean_arm1,bl_sd_arm1,bl_n_arm1,bl_mean_arm2,bl_sd_arm2,bl_n_arm2,rand_arm1,rand_arm2,attr_arm1,attr_arm2,ROB_mod_arm_1,ROB_mod_arm_2,year,time_weeks,time_weeks_needs_cleaning,time,comorbid_mental,format,format_details,n_sessions_arm1,country,age_group,mean_age,percent_women,recruitment,diagnosis,target_group,rob,.id,.g,.g_se,notes
"Abramowitz, 2009",cbt,wlc,,,msd,BSPS,cr,21.72,7.32,11,28.6,3.56,10,,,,,,,,,,,,,,,,,33.18,9.11,11,32.2,8.8,10,11,10,0,0,1,1,2009,,8,post,n,gsh,gsh,8,us,adul,43.4,0.76,com,sad,adul,,Abramowitz_2009_msd_BSPS_post_NA_cr_cbt_wlc_NA_NA,1.129321893,0.4731365603,
"Abramowitz, 2009",cbt,wlc,,,msd,SIAS,self-report,40.81,16.34,11,52.2,12.74,10,,,,,,,,,,,,,,,,,58.81,12.44,11,52.6,10.29,10,11,10,0,0,1,1,2009,,8,post,n,gsh,gsh,8,us,adul,43.4,0.76,com,sad,adul,,Abramowitz_2009_msd_SIAS_post_NA_self-report_cbt_wlc_NA_NA,0.7415810911,0.4528982761,
"Abramowitz, 2009",cbt,wlc,,,msd,STAI-trait,self-report,49.63,13.72,11,50,5.89,10,,,,,,,,,,,,,,,,,56.9,8.64,11,53,5.05,10,11,10,0,0,1,1,2009,,8,post,n,gsh,gsh,8,us,adul,43.4,0.76,com,sad,adul,,Abramowitz_2009_msd_STAI-trait_post_NA_self-report_cbt_wlc_NA_NA,0.03304994901,0.4369637404,
"Anderson, 2013",cbt,wlc,cbt (group),wlc,msd,PRCS,self-report,14.79,8.53,39,23.57,4.28,28,,,,,,,,,,,,,,,,,25.59,2.59,39,24.53,2.73,28,39,28,5,3,0.8717948718,0.8928571429,2013,,8,post,n,grp,grp,8,us,adul,39.03,0.619,com,sad,adul,,Anderson_2013_msd_PRCS_post_NA_self-report_cbt_wlc_cbt(group)_wlc,1.225505233,0.2698656515,
"Anderson, 2013",cbt,wlc,cbt (VRET),wlc,msd,PRCS,self-report,16.23,7.61,30,23.57,4.28,28,,,,,,,,,,,,,,,,,24.37,2.54,30,24.53,2.73,28,30,28,14,3,0.5333333333,0.8928571429,2013,,8,post,n,grp,grp,8,us,adul,39.03,0.619,com,sad,adul,,Anderson_2013_msd_PRCS_post_NA_self-report_cbt_wlc_cbt(VRET)_wlc,1.162179892,0.284624273,
"Anderson, 2013",cbt,wlc,cbt (group),wlc,msd,FNE-B,self-report,38.68,9.31,39,42.45,10.07,28,,,,,,,,,,,,,,,,,44.67,8.35,39,42.64,9.74,28,39,28,5,3,0.8717948718,0.8928571429,2013,,8,post,n,grp,grp,8,us,adul,39.03,0.619,com,sad,adul,,Anderson_2013_msd_FNE-B_post_NA_self-report_cbt_wlc_cbt(group)_wlc,0.3868308445,0.2499966793,
"Anderson, 2013",cbt,wlc,cbt (VRET),wlc,msd,FNE-B,self-report,39.47,10.7,30,42.45,10.07,28,,,,,,,,,,,,,,,,,41.73,10.22,30,42.64,9.74,28,30,28,14,3,0.5333333333,0.8928571429,2013,,8,post,n,grp,grp,8,us,adul,39.03,0.619,com,sad,adul,,Anderson_2013_msd_FNE-B_post_NA_self-report_cbt_wlc_cbt(VRET)_wlc,0.2826560986,0.2641122423,
"Andersson, 2006",cbt,wlc,,,msd,BAI,self-report,8.7,5.8,32,13.6,10.3,32,,,,,,,,,,,,,,,,,13.6,7.3,32,13.2,6.6,32,32,32,2,0,0.9375,1,2006,,9,post,n,oth,gsh/grp,11,eu,adul,37.3,0.516,com,sad,adul,,Andersson_2006_msd_BAI_post_NA_self-report_cbt_wlc_NA_NA,0.5791074092,0.2553132692,
"Andersson, 2006",cbt,wlc,,,msd,SPSQ,self-report,20,8.5,32,28.9,7.9,32,,,,,,,,,,,,,,,,,30.4,8.7,32,30.2,7.6,32,32,32,2,0,0.9375,1,2006,,9,post,n,oth,gsh/grp,11,eu,adul,37.3,0.516,com,sad,adul,,Andersson_2006_msd_SPSQ_post_NA_self-report_cbt_wlc_NA_NA,1.071466439,0.2677516979,
"Andersson, 2006",cbt,wlc,,,msd,SPS,self-report,20.7,14.8,32,31,15.9,32,,,,,,,,,,,,,,,,,35.8,16.7,32,32.5,13.1,32,32,32,2,0,0.9375,1,2006,,9,post,n,oth,gsh/grp,11,eu,adul,37.3,0.516,com,sad,adul,,Andersson_2006_msd_SPS_post_NA_self-report_cbt_wlc_NA_NA,0.6624347642,0.2569301462,
"Andersson, 2006",cbt,wlc,,,msd,PRCS,self-report,22.7,5.4,32,25.5,4.8,32,,,,,,,,,,,,,,,,,25.5,4.2,32,25.9,3.5,32,32,32,2,0,0.9375,1,2006,,9,post,n,oth,gsh/grp,11,eu,adul,37.3,0.516,com,sad,adul,,Andersson_2006_msd_PRCS_post_NA_self-report_cbt_wlc_NA_NA,0.5414154575,0.2546502372,
